DISPLAY,PROMPT,QUESTION,Picture
0,FEW,Q82,CocoLunaMiaLala
4,AND,C1,LalaLokiMaxLuna
0,MANY,Q77,TomNalaLokiLala
2,AND,C2,LokiLeoCocoMilo
4,LESS,Q68,LalaLunaLeoLoki
0,AND,C3,LeoMaxNalaMia
2,MORE,Q85,MiloTomLokiMax
4,ALL,C4,MaxCocoLunaTom
2,MANY,Q65,MiloMiaTomLeo
2,ALL,C5,CocoNalaMiloLala
1,FEW,Q76,MiaCocoLalaTom
0,ALL,C6,NalaLunaMiaLoki
0,LESS,Q67,TomLalaLokiCoco
4,AND,C7,LunaMiloTomLeo
1,LESS,T1,MiaLalaLeoCoco
2,AND,C8,MiloMiaLalaMax
4,MORE,Q83,NalaMiloTomLoki
0,AND,C9,MiaTomLokiCoco
0,MORE,Q72,CocoLalaLunaNala
4,ALL,C10,TomLalaLeoNala
0,LESS,Q87,TomLokiMaxNala
2,ALL,C11,LalaLokiLeoMax
3,MORE,Q59,LokiLeoMaxLuna
0,ALL,C12,LokiLeoMaxCoco
4,MORE,Q63,NalaLunaMiloLala
4,AND,C13,LeoMaxCocoNala
2,FEW,Q75,MiloMaxTomMia
2,AND,C14,MaxCocoNalaLuna
4,MANY,Q78,LalaLeoCocoLuna
0,AND,C15,CocoNalaLunaMilo
1,MANY,Q81,MaxNalaMiloTom
4,ALL,C16,NalaLunaMiloMia
2,LESS,Q60,LeoMaxCocoMilo
2,ALL,C17,LunaMiloMiaTom
1,MORE,Q71,MaxTomNalaCoco
0,ALL,C18,MiloMiaTomLala
3,LESS,Q79,LokiMaxNalaMilo
4,AND,C19,MiaTomLalaLoki
3,LESS,Q74,LunaLeoMiaMilo
2,AND,C20,TomLalaLokiLeo
3,FEW,Q69,LokiMiloMaxLeo
0,AND,C21,LalaMaxLunaTom
3,MANY,Q84,LunaMiaLalaLeo
4,ALL,C22,LokiCocoMiloLala
1,MORE,Q61,MaxCocoNalaMia
2,ALL,C23,LeoNalaMiaLoki
1,LESS,Q66,MiaTomLalaMax
0,ALL,C24,MaxLunaTomLeo
0,MORE,Q62,CocoNalaLunaTom
4,AND,C25,CocoMiloLalaMax
2,LESS,Q80,LeoCocoLunaMia
2,AND,C26,NalaMiaLokiCoco
2,MORE,Q70,LeoMiaCocoMax
0,AND,C27,LunaTomLeoNala
4,FEW,U1,LalaLokiLeoNala
4,ALL,C28,MiloLalaMaxLuna
4,LESS,Q73,NalaLokiMiloLuna
2,ALL,C29,MiaLokiCocoMilo
3,MORE,T2,LunaMiloMiaLoki
0,ALL,C30,TomLeoNalaMia